Date,Adj Close_VERANDA.NS,Close_VERANDA.NS,High_VERANDA.NS,Low_VERANDA.NS,Open_VERANDA.NS,Volume_VERANDA.NS,Date
2024-10-28,284.04998779296875,284.04998779296875,287.70001220703125,263.3500061035156,267.1000061035156,813289,2024-10-28
2024-11-04,280.25,280.25,287.8999938964844,266.5,283.3999938964844,1197822,2024-11-04
2024-11-11,258.29998779296875,258.29998779296875,281.0,248.35000610351562,280.29998779296875,469904,2024-11-11
2024-11-18,236.0,236.0,259.95001220703125,226.14999389648438,250.0500030517578,278961,2024-11-18
2024-11-25,241.8000030517578,241.8000030517578,250.39999389648438,233.5,238.25,301126,2024-11-25
2024-12-02,247.8000030517578,247.8000030517578,252.42999267578125,236.5,238.3000030517578,304464,2024-12-02
2024-12-09,257.2799987792969,257.2799987792969,277.0,246.0500030517578,247.8000030517578,2107435,2024-12-09
2024-12-16,242.72999572753906,242.72999572753906,264.989990234375,239.10000610351562,257.0,636822,2024-12-16
2024-12-23,242.91000366210938,242.91000366210938,249.89999389648438,222.72000122070312,246.9600067138672,316728,2024-12-23
2024-12-30,242.97999572753906,242.97999572753906,256.70001220703125,237.39999389648438,243.39999389648438,658484,2024-12-30
2025-01-06,235.1699981689453,235.1699981689453,246.75,224.0,242.1999969482422,415802,2025-01-06
2025-01-13,245.4499969482422,245.4499969482422,250.0,212.3000030517578,236.0,648596,2025-01-13
2025-01-20,232.07000732421875,232.07000732421875,246.19000244140625,224.27999877929688,246.19000244140625,315464,2025-01-20
2025-01-27,252.77999877929688,252.77999877929688,258.0,212.49000549316406,232.07000732421875,828649,2025-01-27
2025-02-03,252.50999450683594,252.50999450683594,269.010009765625,243.0,250.9499969482422,421287,2025-02-03
2025-02-10,206.72999572753906,206.72999572753906,254.52999877929688,195.25999450683594,254.25,720690,2025-02-10
2025-02-17,241.00999450683594,241.00999450683594,259.0,186.5399932861328,207.0,1614244,2025-02-17
2025-02-24,223.19000244140625,223.19000244140625,243.1300048828125,214.6999969482422,240.9199981689453,769576,2025-02-24
2025-03-03,241.50999450683594,241.50999450683594,245.0,209.24000549316406,229.66000366210938,856645,2025-03-03
2025-03-10,200.60000610351562,200.60000610351562,241.8000030517578,196.25,241.8000030517578,738637,2025-03-10
2025-03-17,206.75999450683594,206.75999450683594,220.75,190.0,204.99000549316406,956455,2025-03-17
2025-03-24,211.47000122070312,211.47000122070312,215.39999389648438,189.2100067138672,212.0,2858496,2025-03-24
2025-03-31,215.4600067138672,215.4600067138672,226.75,204.52999877929688,211.47000122070312,975386,2025-03-31
2025-04-07,212.82000732421875,212.82000732421875,220.49000549316406,195.50999450683594,210.0,370244,2025-04-07
2025-04-14,209.10000610351562,209.10000610351562,218.99000549316406,208.22000122070312,212.82000732421875,539402,2025-04-14
2025-04-21,207.50999450683594,207.50999450683594,242.83999633789062,202.0,209.8699951171875,1193422,2025-04-21
2025-04-28,207.1300048828125,207.1300048828125,213.99000549316406,201.6300048828125,208.60000610351562,177175,2025-04-28
2025-05-05,206.97000122070312,206.97000122070312,227.0,204.89999389648438,208.11000061035156,521066,2025-05-05
2025-05-12,209.25,209.25,218.2899932861328,207.10000610351562,210.5,349181,2025-05-12
2025-05-19,211.41000366210938,211.41000366210938,220.2100067138672,205.27999877929688,210.91000366210938,218721,2025-05-19
2025-05-26,205.9499969482422,205.9499969482422,228.0,204.42999267578125,212.89999389648438,656999,2025-05-26
2025-06-02,198.02000427246094,198.02000427246094,207.94000244140625,197.0,206.0,381567,2025-06-02
2025-06-09,197.52999877929688,197.52999877929688,212.0,196.0,199.0,795122,2025-06-09
2025-06-16,198.8699951171875,198.8699951171875,212.0,189.9199981689453,199.39999389648438,816869,2025-06-16
2025-06-23,196.8800048828125,196.8800048828125,203.8000030517578,194.67999267578125,200.86000061035156,338697,2025-06-23
2025-06-30,226.99000549316406,226.99000549316406,232.1999969482422,194.5,196.8800048828125,2759162,2025-06-30
2025-07-07,247.5399932861328,247.5399932861328,254.97999572753906,221.41000366210938,225.0,2557244,2025-07-07
2025-07-14,260.9200134277344,260.9200134277344,262.0,240.00999450683594,244.7100067138672,874387,2025-07-14
