Date,Adj Close_SKYGOLD.NS,Close_SKYGOLD.NS,High_SKYGOLD.NS,Low_SKYGOLD.NS,Open_SKYGOLD.NS,Volume_SKYGOLD.NS,Date
2024-11-25,385.44500732421875,385.44500732421875,424.5,361.1300048828125,393.0,2503400,2024-11-25
2024-12-02,412.6700134277344,412.6700134277344,444.0,374.2099914550781,392.3999938964844,2689910,2024-12-02
2024-12-09,443.1449890136719,443.1449890136719,467.5,410.0,425.0,2891410,2024-12-09
2024-12-16,418.8999938964844,418.8999938964844,488.54998779296875,418.8999938964844,465.29998779296875,1159919,2024-12-16
2024-12-23,412.5,412.5,439.70001220703125,387.5,398.5,2454473,2024-12-23
2024-12-30,390.29998779296875,390.29998779296875,415.0,385.0,412.5,1500489,2024-12-30
2025-01-06,366.6000061035156,366.6000061035156,400.0,360.1499938964844,392.95001220703125,2288544,2025-01-06
2025-01-13,367.25,367.25,389.70001220703125,330.8999938964844,351.0,2035641,2025-01-13
2025-01-20,336.29998779296875,336.29998779296875,371.0,330.20001220703125,367.25,1182233,2025-01-20
2025-01-27,331.5,331.5,353.6499938964844,292.0,321.45001220703125,4606934,2025-01-27
2025-02-03,378.0,378.0,402.8500061035156,335.1499938964844,335.20001220703125,2214202,2025-02-03
2025-02-10,366.75,366.75,388.70001220703125,325.25,376.95001220703125,1855631,2025-02-10
2025-02-17,345.29998779296875,345.29998779296875,383.0,321.5,374.0,1258068,2025-02-17
2025-02-24,318.1000061035156,318.1000061035156,352.5,318.1000061035156,340.04998779296875,720811,2025-02-24
2025-03-03,376.20001220703125,376.20001220703125,385.5,302.20001220703125,308.29998779296875,1592108,2025-03-03
2025-03-10,335.6499938964844,335.6499938964844,384.0,331.0,378.6000061035156,911328,2025-03-10
2025-03-17,334.95001220703125,334.95001220703125,347.5,318.8999938964844,337.25,1335143,2025-03-17
2025-03-24,321.54998779296875,321.54998779296875,346.0,310.0,335.0,1260982,2025-03-24
2025-03-31,327.6000061035156,327.6000061035156,349.95001220703125,315.0,321.54998779296875,1093448,2025-03-31
2025-04-07,319.95001220703125,319.95001220703125,321.0,297.0,311.25,943002,2025-04-07
2025-04-14,351.0,351.0,352.6499938964844,319.95001220703125,319.95001220703125,3414101,2025-04-14
2025-04-21,315.29998779296875,315.29998779296875,366.79998779296875,307.1000061035156,359.5,3069737,2025-04-21
2025-04-28,305.6499938964844,305.6499938964844,319.8999938964844,301.0,311.1000061035156,1047427,2025-04-28
2025-05-05,289.5,289.5,315.0,285.5,302.0,2664931,2025-05-05
2025-05-12,338.70001220703125,338.70001220703125,351.79998779296875,298.75,299.95001220703125,3452700,2025-05-12
2025-05-19,355.45001220703125,355.45001220703125,357.6000061035156,330.04998779296875,341.70001220703125,2106232,2025-05-19
2025-05-26,393.6000061035156,393.6000061035156,400.95001220703125,352.75,358.0,5853570,2025-05-26
2025-06-02,377.3999938964844,377.3999938964844,400.0,367.1000061035156,393.0,2039874,2025-06-02
2025-06-09,385.25,385.25,389.54998779296875,353.5,380.04998779296875,3097085,2025-06-09
2025-06-16,318.04998779296875,318.04998779296875,396.0,313.8500061035156,386.0,27560153,2025-06-16
2025-06-23,323.54998779296875,323.54998779296875,335.20001220703125,307.79998779296875,313.04998779296875,6065444,2025-06-23
2025-06-30,317.29998779296875,317.29998779296875,326.6499938964844,309.0,326.6499938964844,3152319,2025-06-30
2025-07-07,316.8999938964844,316.8999938964844,329.79998779296875,313.95001220703125,319.0,2558398,2025-07-07
2025-07-14,326.0,326.0,329.25,315.0,318.6499938964844,1154569,2025-07-14
